trade_id,run_id,branch_id,entry_model,stop_mode,exit_mode,direction,signal_time,entry_time,entry_time_msc,entry_bid,entry_ask,entry_price,initial_stop,final_active_stop,risk_points,exit_time,exit_time_msc,exit_bid,exit_ask,exit_price,exit_reason,points,ticks,gross_usd,cost_usd,net_usd,r_multiple,duration_seconds,mae_points,mfe_points,be_applied,lock_applied,entry_atr,equity_usd,peak_equity_usd,drawdown_usd,drawdown_pct_of_initial_risk_bank
950,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.02.03 16:30:00,2026.02.03 17:00:00,1770138000021,25491.25,25491.75,25491.25,25691.25,25369.25,200.0,2026.02.03 20:32:01,1770150721686,25368.5,25369.25,25369.25,MFE_GIVEBACK_STOP,122.0,488.0,244.0,1.2,242.8,0.61,12721,11.5,272.0,False,True,85.79879781707675,2105.700000000005,4535.700000000002,2429.999999999997,
965,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.02.06 20:00:00,2026.02.06 20:30:00,1770409800004,25109.25,25109.75,25109.75,24909.75,25196.25,200.0,2026.02.09 01:57:18,1770602238658,25194.5,25198.75,25196.25,MFE_GIVEBACK_STOP,86.5,346.0,173.0,1.2,171.8,0.4325,192438,20.0,236.5,False,True,81.20485829111011,2277.500000000005,4535.700000000002,2258.1999999999966,
980,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.02.10 23:00:00,2026.02.10 23:30:03,1770766203250,25277.5,25278.5,25277.5,25477.5,25208.5,200.0,2026.02.11 15:52:16,1770825136589,25212.75,25215.0,25208.5,MFE_GIVEBACK_STOP,69.0,276.0,138.0,1.2,136.8,0.345,58933,188.25,219.0,False,True,52.451400137747456,2414.300000000005,4535.700000000002,2121.3999999999965,
995,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.02.16 01:00:00,2026.02.16 01:30:00,1771205400086,24834.25,24835.25,24835.25,24635.25,24635.25,200.0,2026.02.17 02:00:00,1771293600028,24666.75,24668.25,24666.75,OPPOSITE_TRIANGLE,-168.5,-674.0,-337.0,1.2,-338.2,-0.8425,88200,185.25,86.0,False,False,54.34372076733947,2076.1000000000054,4535.700000000002,2459.5999999999963,
1010,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.02.17 01:30:00,2026.02.17 02:00:00,1771293600028,24666.75,24668.25,24666.75,24866.75,24614.5,200.0,2026.02.17 15:18:49,1771341529356,24613.75,24614.5,24614.5,MFE_GIVEBACK_STOP,52.25,209.0,104.5,1.2,103.3,0.26125,47929,149.25,202.25,False,True,59.6110348955749,2179.4000000000055,4535.700000000002,2356.299999999996,
1025,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.02.17 21:30:00,2026.02.17 23:00:00,1771369200033,24768.25,24769.5,24769.5,24569.5,24977.75,200.0,2026.02.18 19:30:19,1771443019759,24977.75,24978.25,24977.75,MFE_GIVEBACK_STOP,208.25,833.0,416.5,1.2,415.3,1.04125,73819,68.75,358.25,False,True,89.18351363354401,2594.7000000000057,4535.700000000002,1940.999999999996,
1040,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.02.20 11:00:00,2026.02.20 11:30:01,1771587001068,24878.0,24878.75,24878.0,25078.0,25078.0,200.0,2026.02.20 15:02:01,1771599721826,25074.25,25080.0,25078.0,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,12720,202.0,199.5,False,False,38.53077125496103,2193.500000000006,4535.700000000002,2342.1999999999957,
1055,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.02.20 15:30:00,2026.02.20 16:00:00,1771603200034,25118.25,25118.75,25118.75,24918.75,24918.75,200.0,2026.02.20 17:20:33,1771608033325,24917.75,24920.25,24918.75,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,4833,201.0,20.25,False,False,105.91352002539416,1792.3000000000059,4535.700000000002,2743.399999999996,
1070,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.02.23 20:30:00,2026.02.23 21:00:00,1771880400020,24766.25,24766.75,24766.25,24966.25,24966.25,200.0,2026.02.24 15:26:44,1771946804962,24965.25,24967.5,24966.25,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,66404,201.25,71.5,False,False,67.49847309384928,1391.1000000000058,4535.700000000002,3144.599999999996,
1085,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.02.24 20:00:00,2026.02.24 20:30:00,1771965000010,24998.75,24999.25,24999.25,24799.25,25293.25,200.0,2026.02.25 23:41:59,1772062919611,25292.75,25293.25,25293.25,MFE_GIVEBACK_STOP,294.0,1176.0,588.0,1.2,586.8,1.47,97919,7.25,494.0,False,True,62.5091341579008,1977.9000000000058,4535.700000000002,2557.7999999999956,
