signal_id,run_id,signal_bar_time,entry_time,entry_mode,direction,entry_bid,entry_ask,signal_open,signal_high,signal_low,signal_close,atr,cloud_bull,supertrend_dir,supertrend_line,qqe_blue,qqe_red,regime_age_bars
108,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.18 00:00:00,2026.05.18 00:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,29010.0,29011.75,29116.75,29145.0,28937.5,29011.75,97.76717042015665,False,-1,29334.55151126047,False,True,1
109,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.18 13:30:00,2026.05.18 14:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,29241.0,29243.0,29338.25,29356.25,29135.0,29243.75,112.35394248118592,True,1,29075.61185839605,True,False,3
110,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.18 15:00:00,2026.05.18 15:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,28959.5,28960.5,29082.25,29126.25,28956.25,28960.25,131.12602406878452,False,-1,29434.628072206357,False,True,1
111,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.20 14:00:00,2026.05.20 14:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,29208.75,29209.75,29100.5,29233.75,29008.5,29208.75,88.66367124829056,True,1,28950.38672050393,True,False,13
112,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.26 01:30:00,2026.05.26 02:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,29813.5,29814.5,29802.5,29817.25,29770.25,29811.75,48.42613218258573,False,-1,29939.02839654776,False,True,6
113,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.26 13:30:00,2026.05.26 14:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,30006.0,30006.75,29903.75,30007.0,29826.75,30007.0,56.47535494673407,True,1,29781.841277975054,True,False,8
114,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.27 14:00:00,2026.05.27 14:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,29916.0,29916.75,30060.75,30099.25,29888.25,29916.0,91.33465190937322,False,-1,30267.75395572812,False,True,2
115,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.28 19:30:00,2026.05.28 20:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,30306.25,30306.5,30305.5,30331.5,30283.25,30306.75,63.39308762046242,True,1,30117.19573713861,True,False,15
116,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.01 13:30:00,2026.06.01 14:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,30311.0,30314.5,30343.0,30467.25,30306.0,30321.5,65.54306296201275,False,-1,30538.476876540044,False,True,12
117,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.02 06:30:00,2026.06.02 07:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,30513.75,30514.5,30486.75,30515.75,30469.0,30514.5,50.44816437627204,True,1,30341.030506871182,True,False,1
118,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.03 15:30:00,2026.06.03 16:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,30605.0,30605.75,30668.0,30692.25,30568.0,30604.25,89.3101403869475,False,-1,30805.324298239768,False,True,5
119,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.04 20:00:00,2026.06.04 20:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,30413.0,30413.5,30484.0,30495.0,30402.0,30413.75,80.72355496241146,True,1,30344.05275735633,True,False,9
120,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.05 13:30:00,2026.06.05 14:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,29774.5,29775.25,30035.75,30100.5,29771.0,29774.25,92.11236701064156,False,-1,30212.087101031924,False,True,32
121,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.09 02:30:00,2026.06.09 03:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,29514.0,29515.0,29491.75,29523.75,29473.5,29514.0,94.0539400114784,True,1,29298.38648505658,True,False,30
122,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.09 14:30:00,2026.06.09 15:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,29240.75,29242.0,29444.0,29487.5,29083.75,29239.75,133.18672310465053,False,-1,29685.18516931395,False,True,2
123,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.06.11 19:30:00,2026.06.11 20:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,29462.75,29463.75,29424.25,29544.25,29404.0,29463.25,190.0541242695431,True,1,28903.96262719137,True,False,6
