trade_id,variant,side,signal_time,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,lot_size,pnl_points,gross_pnl,commission,fees,net_pnl,pnl_r,mae_points,mfe_points,bars_held,costs_included
"TR000196","KEEPER_SL12_TP36",sell,"2026-03-12T11:46:00+00:00","2026-03-12T11:46:00+00:00",24848.00000000,24860.00000000,24812.00000000,"2026-03-12T11:49:00+00:00",24860.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,13.00000000,12.50000000,3,false
"TR000197","KEEPER_SL12_TP36",sell,"2026-03-12T11:54:00+00:00","2026-03-12T11:54:00+00:00",24852.80000000,24864.80000000,24816.80000000,"2026-03-12T12:13:00+00:00",24816.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,7.00000000,36.80000000,19,false
"TR000198","KEEPER_SL12_TP36",sell,"2026-03-12T12:27:00+00:00","2026-03-12T12:27:00+00:00",24823.90000000,24835.90000000,24787.90000000,"2026-03-12T12:30:00+00:00",24835.90000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,15.30000000,6.20000000,3,false
"TR000199","KEEPER_SL12_TP36",sell,"2026-03-13T10:41:00+00:00","2026-03-13T10:41:00+00:00",24442.00000000,24454.00000000,24406.00000000,"2026-03-13T10:55:00+00:00",24406.00000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,4.70000000,36.90000000,14,false
"TR000200","KEEPER_SL12_TP36",sell,"2026-03-13T11:24:00+00:00","2026-03-13T11:24:00+00:00",24410.80000000,24422.80000000,24374.80000000,"2026-03-13T11:32:00+00:00",24422.80000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,15.00000000,22.40000000,8,false
"TR000201","KEEPER_SL12_TP36",sell,"2026-03-13T12:55:00+00:00","2026-03-13T12:55:00+00:00",24519.00000000,24531.00000000,24483.00000000,"2026-03-13T13:01:00+00:00",24531.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,14.20000000,11.30000000,6,false
"TR000202","KEEPER_SL12_TP36",sell,"2026-03-16T11:04:00+00:00","2026-03-16T11:04:00+00:00",24514.60000000,24526.60000000,24478.60000000,"2026-03-16T11:05:00+00:00",24526.60000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,14.50000000,2.00000000,1,false
"TR000203","KEEPER_SL12_TP36",sell,"2026-03-16T11:13:00+00:00","2026-03-16T11:13:00+00:00",24528.50000000,24540.50000000,24492.50000000,"2026-03-16T11:20:00+00:00",24492.50000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,2.40000000,37.80000000,7,false
"TR000204","KEEPER_SL12_TP36",sell,"2026-03-16T12:00:00+00:00","2026-03-16T12:00:00+00:00",24512.90000000,24524.90000000,24476.90000000,"2026-03-16T12:07:00+00:00",24476.90000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,4.80000000,40.10000000,7,false
"TR000205","KEEPER_SL12_TP36",sell,"2026-03-16T12:14:00+00:00","2026-03-16T12:14:00+00:00",24516.00000000,24528.00000000,24480.00000000,"2026-03-16T12:31:00+00:00",24480.00000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,3.90000000,37.40000000,17,false
