run_id,variant_id,sl,activation,distance,cost_scenario,month,trades,net_points
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,10,18,181.80999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,11,13,222.9099999999985
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,12,16,-211.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,1,17,495.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,2,14,328.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,3,20,50.20999999999822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,4,16,150.95999999999913
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,5,13,64.82999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,6,15,248.55000000000018
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,7,34,124.26999999999907
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,8,19,122.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,9,9,-87.47999999999956
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,10,18,181.80999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,11,13,222.9099999999985
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,12,16,-211.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,1,17,495.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,2,14,328.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,3,20,50.20999999999822
