run_id,variant_id,sl,activation,distance,cost_scenario,period,trades,net_points,profit_factor,expectancy
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,LOCKED_OOS,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,H1,139,1054.9799999999982,1.5769047788307478,7.589784172661857
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,H2,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,ALL,204,1691.6799999999957,1.6089166288721382,8.292549019607822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,DEVELOPMENT,88,180.58999999999787,1.1726944115059463,2.0521590909090666
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,VALIDATION,51,874.3900000000003,2.1167605399951492,17.14490196078432
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,LOCKED_OOS,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,H1,139,1054.9799999999982,1.5769047788307478,7.589784172661857
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,H2,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,15,52.5,57.5,27.5,SLIPPAGE_BASE,ALL,204,1691.6799999999957,1.6089166288721382,8.292549019607822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,16,52.5,57.5,27.5,COMMISSION_PLUS_25,DEVELOPMENT,88,180.58999999999787,1.1726944115059463,2.0521590909090666
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,16,52.5,57.5,27.5,COMMISSION_PLUS_25,VALIDATION,51,874.3900000000003,2.1167605399951492,17.14490196078432
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,16,52.5,57.5,27.5,COMMISSION_PLUS_25,LOCKED_OOS,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,16,52.5,57.5,27.5,COMMISSION_PLUS_25,H1,139,1054.9799999999982,1.5769047788307478,7.589784172661857
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,16,52.5,57.5,27.5,COMMISSION_PLUS_25,H2,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,16,52.5,57.5,27.5,COMMISSION_PLUS_25,ALL,204,1691.6799999999957,1.6089166288721382,8.292549019607822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,17,52.5,57.5,27.5,COMBINED_STRESS,DEVELOPMENT,88,180.58999999999787,1.1726944115059463,2.0521590909090666
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,17,52.5,57.5,27.5,COMBINED_STRESS,VALIDATION,51,874.3900000000003,2.1167605399951492,17.14490196078432
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,17,52.5,57.5,27.5,COMBINED_STRESS,LOCKED_OOS,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,17,52.5,57.5,27.5,COMBINED_STRESS,H1,139,1054.9799999999982,1.5769047788307478,7.589784172661857
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,17,52.5,57.5,27.5,COMBINED_STRESS,H2,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,17,52.5,57.5,27.5,COMBINED_STRESS,ALL,204,1691.6799999999957,1.6089166288721382,8.292549019607822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,18,52.5,57.5,30.0,BASE,DEVELOPMENT,88,138.08999999999787,1.13205255708985,1.5692045454545214
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,18,52.5,57.5,30.0,BASE,VALIDATION,51,965.5500000000011,2.233189011073225,18.932352941176493
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,18,52.5,57.5,30.0,BASE,LOCKED_OOS,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,18,52.5,57.5,30.0,BASE,H1,139,1103.639999999999,1.6035139908896536,7.939856115107906
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,18,52.5,57.5,30.0,BASE,H2,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,18,52.5,57.5,30.0,BASE,ALL,204,1692.9099999999962,1.6093593647639814,8.29857843137253
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,19,52.5,57.5,30.0,SPREAD_PLUS_25,DEVELOPMENT,88,138.08999999999787,1.13205255708985,1.5692045454545214
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,19,52.5,57.5,30.0,SPREAD_PLUS_25,VALIDATION,51,965.5500000000011,2.233189011073225,18.932352941176493
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,19,52.5,57.5,30.0,SPREAD_PLUS_25,LOCKED_OOS,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,19,52.5,57.5,30.0,SPREAD_PLUS_25,H1,139,1103.639999999999,1.6035139908896536,7.939856115107906
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,19,52.5,57.5,30.0,SPREAD_PLUS_25,H2,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,19,52.5,57.5,30.0,SPREAD_PLUS_25,ALL,204,1692.9099999999962,1.6093593647639814,8.29857843137253
